Titular,Medio,Fecha,Hora
"
Arrolladora votación en la Cámara hundió la moción de censura contra Botero
",Tiempo,13/06/2019,12:06 PM
"
Polémico director de revista 'Congreso' tampoco es abogado
",Tiempo,13/06/2019,12:59 PM
"
VideoLa historia del joven asesinado por pedir el pago de un pasaje de TM
",Tiempo,13/06/2019,09:50 AM
"
Amplían intervención a pirámide 'Telar de los sueños' en Bogotá
",Tiempo,13/06/2019,12:49 PM
"
Conozca las camisetas titulares de las selecciones en la Copa América
",Tiempo,13/06/2019,12:20 PM
"
Adiós a Mike Forero Nougués, maestro de periodistas
",Tiempo,13/06/2019,07:28 AM
"
Vanegas pagó mandar a callar a Viera: le costó el título a Pasto
",Tiempo,13/06/2019,07:24 AM
"
Los líos de Rappi que crecen tan rápido como sus pedidos
",Tiempo,13/06/2019,12:00 AM
"
Los memes más divertidos de la final del fútbol colombiano
",Tiempo,13/06/2019,06:37 AM
"
Nueva Cinemateca
",Tiempo,13/06/2019,12:34 PM
"
En fotos, brutal golpiza a presunto ladrón de celulares en Chapinero
",Tiempo,13/06/2019,12:20 PM
"
Las imágenes del trágico derrumbe en vía de Pereira
",Tiempo,13/06/2019,11:23 PM
"
Los estadios donde se jugará la Copa América Brasil 2019
",Tiempo,13/06/2019,11:05 AM
"
El antes y después de la niña protagonista de ‘Luz Clarita’
",Tiempo,13/06/2019,04:00 AM
"
Se agitó debate político en plenaria de Cámara por llegada de Santrich
",Tiempo,13/06/2019,05:34 PM
